TEG_recirc_rate,no_of_equili_stages,temp,stripping_rate,water_content_spec
0.600,3,400,0,1
1.200,3,400,0,1
1.389,3,400,0,1
1.400,3,400,0,1
1.413,3,400,0,1
1.426,3,400,0,1
1.439,3,400,0,0
1.452,3,400,0,0
1.465,3,400,0,0
1.478,3,400,0,0
1.491,3,400,0,0
1.504,3,400,0,0
1.517,3,400,0,0
1.530,3,400,0,0
1.543,3,400,0,0
1.556,3,400,0,0
1.569,3,400,0,0
1.582,3,400,0,0
1.595,3,400,0,0
1.608,3,400,0,0
1.621,3,400,0,0
1.634,3,400,0,0
1.647,3,400,0,0
1.660,3,400,0,0
1.673,3,400,0,0
1.686,3,400,0,0
1.700,3,400,0,0
1.730,3,400,0,0
1.760,3,400,0,0
1.790,3,400,0,0
1.820,3,400,0,0
1.850,3,400,0,0
1.880,3,400,0,0
1.910,3,400,0,0
1.940,3,400,0,0
1.970,3,400,0,0
2.000,3,400,0,0
2.030,3,400,0,0
2.060,3,400,0,0
2.090,3,400,0,0
2.120,3,400,0,0
2.150,3,400,0,0
2.180,3,400,0,0
2.210,3,400,0,0
2.240,3,400,0,0
2.270,3,400,0,0
2.300,3,400,0,0
2.330,3,400,0,0
2.360,3,400,0,0
2.400,3,400,0,0
2.422,3,400,0,0
2.444,3,400,0,0
2.466,3,400,0,0
2.488,3,400,0,0
2.510,3,400,0,0
2.532,3,400,0,0
2.554,3,400,0,0
2.576,3,400,0,0
2.598,3,400,0,0
2.620,3,400,0,0
2.642,3,400,0,0
2.664,3,400,0,0
2.686,3,400,0,0
2.708,3,400,0,0
2.730,3,400,0,0
2.752,3,400,0,0
2.774,3,400,0,0
2.796,3,400,0,0
2.818,3,400,0,0
2.840,3,400,0,0
2.862,3,400,0,0
2.884,3,400,0,0
2.900,3,400,0,0
2.928,3,400,0,0
2.956,3,400,0,0
2.984,3,400,0,0
3.012,3,400,0,0
3.040,3,400,0,0
3.068,3,400,0,0
3.096,3,400,0,0
3.124,3,400,0,0
3.152,3,400,0,0
3.180,3,400,0,0
3.208,3,400,0,0
3.236,3,400,0,0
3.264,3,400,0,0
3.292,3,400,0,0
3.320,3,400,0,0
3.348,3,400,0,0
3.376,3,400,0,0
3.404,3,400,0,0
3.432,3,400,0,0
3.460,3,400,0,0
3.488,3,400,0,0
3.516,3,400,0,0
3.550,3,400,0,0
3.570,3,400,0,0
3.590,3,400,0,0
3.610,3,400,0,0
3.630,3,400,0,0
3.650,3,400,0,0
3.670,3,400,0,0
3.690,3,400,0,0
3.710,3,400,0,0
3.730,3,400,0,0
3.750,3,400,0,0
3.770,3,400,0,0
3.790,3,400,0,0
3.810,3,400,0,0
3.830,3,400,0,0
3.850,3,400,0,0
3.870,3,400,0,0
3.890,3,400,0,0
3.910,3,400,0,0
3.930,3,400,0,0
3.950,3,400,0,0
3.970,3,400,0,0
3.990,3,400,0,0
4.000,3,400,0,0
4.130,3,400,0,0
4.260,3,400,0,0
4.390,3,400,0,0
4.520,3,400,0,0
4.650,3,400,0,0
4.780,3,400,0,0
4.910,3,400,0,0
5.040,3,400,0,0
5.170,3,400,0,0
5.300,3,400,0,0
5.430,3,400,0,0
5.560,3,400,0,0
5.690,3,400,0,0
5.820,3,400,0,0
5.950,3,400,0,0
6.080,3,400,0,0
6.210,3,400,0,0
6.340,3,400,0,0
6.470,3,400,0,0
6.600,3,400,0,0
6.730,3,400,0,0
6.860,3,400,0,0
7.000,3,400,0,0
1.300,2,400,0,1
1.600,2,400,0,1
1.800,2,400,0,1
2.800,2,400,0,1
2.832,2,400,0,1
2.864,2,400,0,1
2.896,2,400,0,1
2.929,2,400,0,1
2.961,2,400,0,1
2.993,2,400,0,1
3.025,2,400,0,1
3.057,2,400,0,1
3.089,2,400,0,1
3.121,2,400,0,1
3.154,2,400,0,1
3.186,2,400,0,1
3.218,2,400,0,1
3.250,2,400,0,1
3.282,2,400,0,1
3.314,2,400,0,1
3.346,2,400,0,1
3.379,2,400,0,1
3.411,2,400,0,1
3.443,2,400,0,1
3.475,2,400,0,1
3.507,2,400,0,1
3.539,2,400,0,1
3.571,2,400,0,1
3.604,2,400,0,1
3.636,2,400,0,1
3.668,2,400,0,1
3.700,2,400,0,0
3.714,2,400,0,0
3.729,2,400,0,0
3.743,2,400,0,0
